Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week
S1068,Omar,Miller,omar68@university.com,Male,20,Business,53.79,47.73,47.68,57.6,48.33,78.45,59.09,52.84,F,13.64
S1069,Omar,Smith,omar69@university.com,Female,20,Business,93.72,70.91,98.39,80.1,53.43,89.31,67.25,81.39,B,13.69
S1070,Ava,Davis,ava70@university.com,Female,23,Business,54.44,47.24,67.65,60.32,61.86,70.21,84.52,61.72,D,5.98
S1071,Olivia,Garcia,olivia71@university.com,Female,18,Mathematics,74.06,81.27,70.7,57.85,62.64,40.16,93.42,71.33,C,7.11
S1072,Olivia,Jones,olivia72@university.com,Male,20,Business,59.23,52.56,62.23,74.23,77.1,62.13,73.13,64.22,D,23.69
S1073,Ahmed,Smith,ahmed73@university.com,Female,23,Business,57.39,47.99,81.23,92.22,84.98,41.83,93.36,72.27,C,13.85
S1074,Olivia,Brown,olivia74@university.com,Female,20,Mathematics,62.12,56.15,62.64,51.0,59.32,52.69,66.37,59.06,F,7.99
S1075,John,Miller,john75@university.com,Male,18,CS,67.15,68.44,61.31,82.44,68.77,75.05,86.84,70.77,C,18.94
S1076,John,Garcia,john76@university.com,Male,18,Mathematics,78.22,62.73,60.25,94.98,76.45,54.66,74.91,71.46,C,13.26
S1077,John,Garcia,john77@university.com,Male,18,Engineering,61.86,46.11,49.17,62.3,49.64,51.19,64.25,54.09,F,9.33
S1078,Ahmed,Smith,ahmed78@university.com,Male,24,Business,92.12,43.1,41.09,84.85,99.84,93.8,78.8,67.99,D,27.93
S1079,Sara,Jones,sara79@university.com,Female,24,CS,90.85,55.47,50.25,83.43,95.76,73.41,78.58,70.91,C,12.0
S1080,Ava,Smith,ava80@university.com,Female,21,Mathematics,60.25,98.08,82.66,59.98,84.17,71.79,85.36,78.86,C,24.19
S1081,Omar,Williams,omar81@university.com,Female,23,Engineering,79.06,49.26,68.87,76.63,43.11,60.2,56.72,63.42,D,6.58
S1082,Omar,Davis,omar82@university.com,Male,21,Engineering,60.09,81.07,45.27,56.94,40.16,47.0,73.66,58.82,F,20.15
S1083,Emma,Garcia,emma83@university.com,Male,20,Engineering,67.44,95.77,89.84,98.25,47.46,83.85,96.92,85.1,B,9.53
S1084,Sara,Williams,sara84@university.com,Female,20,Business,96.32,83.3,42.89,89.08,89.68,85.03,89.98,77.41,C,25.63
S1085,Ahmed,Williams,ahmed85@university.com,Female,22,Engineering,90.73,79.91,71.38,67.94,92.63,63.55,90.83,79.15,C,15.98
S1086,John,Williams,john86@university.com,Male,23,Business,94.98,77.45,72.39,71.94,74.65,61.32,69.57,76.11,C,18.3
S1087,Ava,Miller,ava87@university.com,Male,22,Mathematics,95.32,77.45,47.01,96.99,77.66,60.09,56.96,72.56,C,24.85
S1088,Olivia,Johnson,olivia88@university.com,Female,22,CS,74.77,84.49,74.39,99.88,85.14,82.42,88.93,83.22,B,8.58
S1089,Ahmed,Davis,ahmed89@university.com,Female,21,CS,78.49,85.75,92.61,67.1,89.28,46.64,92.32,82.63,B,8.19
S1090,Maria,Jones,maria90@university.com,Female,24,Engineering,89.86,49.0,53.76,86.11,83.2,78.47,84.7,70.35,C,18.57
S1091,Olivia,Johnson,olivia91@university.com,Female,20,Mathematics,79.95,89.61,97.54,67.13,53.64,65.42,64.4,79.44,C,20.37
S1092,Olivia,Williams,olivia92@university.com,Male,19,Engineering,79.31,70.35,76.69,50.91,92.33,95.93,78.26,74.63,C,22.42
S1093,Emma,Williams,emma93@university.com,Male,22,CS,85.36,49.15,74.58,80.34,65.45,84.19,96.72,73.76,C,28.14
S1094,Maria,Miller,maria94@university.com,Female,24,CS,56.14,54.15,49.93,59.32,90.25,59.93,65.57,59.21,F,10.68
S1095,Maria,Davis,maria95@university.com,Female,24,Business,69.95,43.29,60.11,90.14,40.28,60.01,69.91,61.72,D,18.43
S1096,Maria,Brown,maria96@university.com,Female,20,Engineering,96.15,67.94,68.85,95.92,75.22,41.97,95.64,78.8,C,11.21
S1097,Omar,Smith,omar97@university.com,Female,18,CS,74.92,65.14,94.89,68.12,74.84,77.94,50.65,74.65,C,21.59
S1098,Liam,Davis,liam98@university.com,Male,24,Mathematics,98.78,67.54,73.44,93.03,72.1,51.07,64.98,76.9,C,12.75
S1099,Noah,Williams,noah99@university.com,Female,23,Mathematics,87.5,52.59,93.88,60.26,51.44,42.19,73.6,70.77,C,19.12
S1100,John,Brown,john100@university.com,Female,19,Engineering,64.7,82.84,71.66,76.72,68.87,69.82,88.27,74.9,C,7.57
S1101,Noah,Davis,noah101@university.com,Male,22,Mathematics,53.78,85.19,56.34,94.87,71.59,88.04,98.95,74.88,C,25.99
S1102,Ava,Miller,ava102@university.com,Male,24,Engineering,82.95,41.63,53.32,61.55,80.31,41.18,55.21,58.94,F,25.0
S1103,John,Garcia,john103@university.com,Female,20,CS,94.37,73.4,83.25,90.27,99.32,76.19,90.34,85.96,B,29.07
S1104,Omar,Jones,omar104@university.com,Male,21,Mathematics,83.4,52.3,57.59,94.82,40.78,45.13,60.39,63.96,D,5.66
S1105,Maria,Miller,maria105@university.com,Male,22,Mathematics,93.82,78.58,82.24,95.53,77.49,60.15,91.26,84.56,B,14.08
S1106,Omar,Jones,omar106@university.com,Male,24,Business,63.4,77.45,64.56,77.6,66.17,57.67,97.42,72.02,C,24.09
S1107,John,Smith,john107@university.com,Male,18,Engineering,93.42,69.25,93.67,89.99,65.51,41.35,63.43,79.74,C,18.54
S1108,John,Davis,john108@university.com,Female,22,CS,70.13,53.08,78.7,71.09,47.94,94.03,84.56,69.43,D,22.08
S1109,Maria,Garcia,maria109@university.com,Male,23,Engineering,95.71,47.07,74.59,63.7,73.25,79.09,91.49,72.4,C,10.16
S1110,Maria,Davis,maria110@university.com,Female,19,Business,57.0,55.82,55.99,86.61,55.04,77.99,74.71,63.58,D,19.33
S1111,Ava,Smith,ava111@university.com,Male,18,Engineering,70.94,62.99,71.14,52.35,49.98,84.28,54.14,63.5,D,20.08
S1112,Olivia,Smith,olivia112@university.com,Male,19,Mathematics,53.41,90.22,66.23,95.78,83.29,76.62,97.47,78.89,C,14.92
S1113,Sara,Miller,sara113@university.com,Male,23,Business,56.75,69.03,56.19,76.99,49.72,90.49,92.32,66.64,D,28.88
S1114,Olivia,Smith,olivia114@university.com,Male,20,Business,66.71,86.25,46.4,53.76,83.69,69.73,84.42,67.22,D,15.87
S1115,Maria,Davis,maria115@university.com,Female,24,Engineering,53.8,44.67,40.14,98.38,40.32,46.19,65.73,54.71,F,25.19
S1116,Maria,Williams,maria116@university.com,Male,18,Engineering,56.84,97.01,66.76,59.26,72.51,92.38,86.61,74.04,C,25.16
S1117,Sara,Williams,sara117@university.com,Female,24,Business,86.21,78.23,98.83,95.17,78.8,81.59,52.58,84.78,B,21.75
S1118,Omar,Jones,omar118@university.com,Male,19,Business,79.41,99.96,73.35,73.66,58.77,47.23,86.55,78.18,C,9.81
S1119,Maria,Davis,maria119@university.com,Female,19,Mathematics,71.09,87.72,84.7,52.74,67.31,71.35,82.23,75.82,C,21.25
S1120,Omar,Williams,omar120@university.com,Male,20,Engineering,78.03,68.86,93.1,76.51,66.46,64.27,78.62,77.95,C,25.1
S1121,Maria,Brown,maria121@university.com,Male,21,Business,89.54,59.13,77.55,94.3,76.95,53.98,51.22,74.3,C,26.75
S1122,Ava,Garcia,ava122@university.com,Male,23,Business,50.01,51.13,63.04,96.63,44.2,40.57,52.63,59.69,F,7.21
S1123,Maria,Smith,maria123@university.com,Female,23,CS,73.99,77.65,92.42,99.2,86.1,65.07,71.07,83.58,B,23.44
S1124,Emma,Davis,emma124@university.com,Male,23,CS,50.17,68.04,57.82,92.64,82.93,75.35,63.86,67.93,D,27.76
S1125,Olivia,Williams,olivia125@university.com,Female,24,Mathematics,71.39,63.06,80.78,60.91,97.0,87.18,54.47,72.16,C,15.44
S1126,Omar,Williams,omar126@university.com,Female,24,CS,97.24,68.04,76.8,58.35,99.47,53.9,97.14,78.5,C,21.24
S1127,Omar,Williams,omar127@university.com,Male,22,CS,91.53,47.22,42.82,69.2,42.2,97.44,91.31,62.48,D,25.02
S1128,Olivia,Jones,olivia128@university.com,Female,23,Engineering,98.46,93.03,95.67,99.75,50.43,63.77,87.91,89.28,B,22.4
S1129,Sara,Smith,sara129@university.com,Male,20,Business,90.79,53.47,53.43,76.85,75.58,74.81,54.57,65.95,D,26.94
S1130,Omar,Williams,omar130@university.com,Male,20,Mathematics,63.65,68.6,42.66,92.61,42.13,59.74,96.58,64.68,D,23.38
S1131,Olivia,Johnson,olivia131@university.com,Male,19,Business,70.42,62.36,55.59,86.17,69.75,44.86,61.01,65.18,D,22.08
S1132,Emma,Miller,emma132@university.com,Male,22,Business,99.57,43.69,92.97,75.8,94.39,74.28,83.11,79.75,C,18.59
S1133,Emma,Jones,emma133@university.com,Female,22,Business,63.35,92.72,87.85,82.92,91.03,92.04,85.42,84.69,B,25.93
S1134,John,Brown,john134@university.com,Female,18,Business,96.5,46.35,81.94,59.46,92.9,97.68,73.27,74.65,C,26.98
S1135,Sara,Jones,sara135@university.com,Male,19,Mathematics,56.44,60.11,84.61,58.04,89.08,89.93,75.37,71.29,C,5.16
S1136,John,Williams,john136@university.com,Male,22,Business,80.85,98.87,77.91,62.99,78.04,72.4,88.99,81.15,B,7.67
S1137,John,Miller,john137@university.com,Male,23,Business,50.92,65.93,90.41,69.61,50.77,85.22,89.44,72.15,C,9.34
S1138,Sara,Brown,sara138@university.com,Female,21,Mathematics,53.39,58.06,82.49,53.37,74.93,60.75,81.05,66.88,D,6.14
S1139,Noah,Miller,noah139@university.com,Female,19,Mathematics,99.51,80.56,66.76,82.38,75.66,63.02,53.28,76.13,C,25.54
S1140,Olivia,Smith,olivia140@university.com,Female,24,Mathematics,74.43,86.22,81.0,72.3,56.42,99.83,71.31,77.27,C,16.28
S1141,Olivia,Brown,olivia141@university.com,Female,24,Business,76.35,89.56,57.9,92.0,86.37,53.8,56.57,74.62,C,26.7
S1142,Omar,Jones,omar142@university.com,Female,23,Mathematics,57.55,65.94,96.62,70.99,78.31,63.86,63.71,74.02,C,29.6
S1143,Omar,Davis,omar143@university.com,Female,18,Engineering,66.04,83.47,84.75,60.02,92.09,82.9,78.14,77.96,C,16.79
S1144,Liam,Davis,liam144@university.com,Male,20,Engineering,98.41,51.13,92.12,88.83,86.26,90.69,88.05,83.31,B,20.66
S1145,Ava,Smith,ava145@university.com,Female,21,Engineering,51.63,95.25,77.0,89.83,68.89,47.04,56.26,74.38,C,22.14
S1146,Ahmed,Davis,ahmed146@university.com,Female,21,CS,77.92,53.53,49.65,82.58,59.56,75.42,71.66,64.09,D,29.61
S1147,Noah,Miller,noah147@university.com,Male,18,Business,50.58,44.35,63.55,74.0,76.0,57.5,84.75,62.39,D,26.5
S1148,John,Jones,john148@university.com,Male,23,Mathematics,95.39,83.46,84.95,57.3,46.17,74.25,50.92,74.25,C,17.06
S1149,Ava,Garcia,ava149@university.com,Female,21,Mathematics,85.12,73.58,40.59,66.32,71.06,45.27,67.53,63.7,D,5.83
S1150,Noah,Davis,noah150@university.com,Female,21,Mathematics,67.89,59.33,98.65,60.04,81.59,89.29,52.06,73.55,C,21.76
S1151,Emma,Smith,emma151@university.com,Female,20,Engineering,56.21,93.77,75.69,80.83,76.78,57.93,96.76,78.48,C,28.68
S1152,Maria,Brown,maria152@university.com,Male,21,CS,90.09,60.37,88.89,54.01,93.69,72.86,90.86,78.01,C,16.31
S1153,Ava,Brown,ava153@university.com,Female,20,Mathematics,52.04,49.84,66.32,86.24,75.6,79.02,73.96,66.2,D,20.39
S1154,Ava,Johnson,ava154@university.com,Female,20,Engineering,98.79,60.21,50.93,89.48,79.52,69.89,77.77,72.24,C,22.98
S1155,Maria,Davis,maria155@university.com,Female,23,Business,66.62,72.55,69.6,54.08,64.2,53.23,70.92,66.19,D,10.09
S1156,Sara,Davis,sara156@university.com,Female,24,Business,73.13,92.1,83.63,87.14,65.53,60.76,68.55,79.81,C,29.69
S1157,Ahmed,Williams,ahmed157@university.com,Female,19,Mathematics,93.35,74.72,66.32,86.26,69.2,92.41,95.04,79.51,C,15.54
S1158,Liam,Williams,liam158@university.com,Female,19,Business,99.61,57.03,61.55,69.19,67.95,90.16,61.79,69.6,D,24.4
S1159,Sara,Miller,sara159@university.com,Female,21,Business,95.45,50.78,54.25,98.57,50.86,91.26,74.61,69.93,D,11.18
S1160,Ahmed,Jones,ahmed160@university.com,Male,21,Business,70.25,75.58,74.76,83.13,45.72,79.13,65.61,71.9,C,14.98
S1161,John,Garcia,john161@university.com,Male,20,Business,82.84,59.51,86.41,56.54,98.19,67.23,61.8,73.77,C,6.84
S1162,Ava,Miller,ava162@university.com,Male,23,Engineering,66.54,66.93,80.16,57.29,66.97,75.27,97.43,72.2,C,11.31
S1163,Maria,Brown,maria163@university.com,Female,23,Business,58.38,42.2,84.18,83.19,68.48,90.65,90.28,71.13,C,19.63
S1164,Olivia,Smith,olivia164@university.com,Female,24,Mathematics,77.91,72.39,42.05,99.33,47.38,53.87,52.58,64.27,D,21.0
S1165,Omar,Williams,omar165@university.com,Female,20,Mathematics,72.61,96.03,58.97,75.36,42.49,48.9,99.33,72.77,C,29.13
S1166,Olivia,Smith,olivia166@university.com,Female,20,Engineering,50.87,59.39,98.39,79.01,55.25,71.3,67.13,71.76,C,18.31
S1167,Ahmed,Williams,ahmed167@university.com,Male,24,Business,51.5,58.48,82.28,60.09,80.41,98.19,54.7,67.42,D,21.82
S1168,Omar,Johnson,omar168@university.com,Female,23,Business,93.41,50.63,81.56,91.91,96.68,80.99,74.86,79.52,C,20.45
S1169,Omar,Williams,omar169@university.com,Male,24,Business,78.53,41.82,95.86,84.48,80.59,52.94,82.94,75.78,C,14.85
S1170,Olivia,Garcia,olivia170@university.com,Male,22,CS,78.86,60.91,49.56,80.25,59.09,91.99,99.67,68.91,D,23.81
S1171,Sara,Brown,sara171@university.com,Female,22,Mathematics,78.35,84.31,92.71,70.21,59.62,80.06,90.39,81.33,B,24.06
S1172,Liam,Miller,liam172@university.com,Male,18,Mathematics,65.86,92.13,62.54,64.84,78.94,59.7,81.51,72.7,C,20.25
S1173,Liam,Davis,liam173@university.com,Female,24,Engineering,84.77,63.31,66.92,61.88,62.4,53.64,53.66,65.68,D,20.09
S1174,Ahmed,Miller,ahmed174@university.com,Male,23,Mathematics,82.13,85.56,70.03,77.12,97.09,90.83,95.71,82.33,B,25.34
S1175,Liam,Brown,liam175@university.com,Male,18,CS,69.01,63.93,74.81,76.68,76.47,85.89,90.65,74.35,C,22.95
S1176,Emma,Miller,emma176@university.com,Female,20,Mathematics,76.06,89.34,65.85,94.84,44.28,97.28,82.73,77.53,C,14.5
S1177,Maria,Miller,maria177@university.com,Male,21,Business,96.72,61.1,46.09,74.29,55.41,57.09,65.36,64.32,D,25.08
S1178,Ahmed,Brown,ahmed178@university.com,Male,20,Engineering,79.05,45.38,83.06,70.0,98.6,89.39,76.12,74.14,C,8.08
S1179,Olivia,Davis,olivia179@university.com,Male,21,Engineering,59.07,71.51,82.54,55.34,74.04,55.39,98.15,72.09,C,17.09
S1180,Olivia,Jones,olivia180@university.com,Male,24,Business,90.79,62.41,71.59,55.62,40.16,78.28,75.76,67.85,D,19.84
S1181,Noah,Smith,noah181@university.com,Male,19,Engineering,60.6,76.66,64.66,91.99,94.0,61.21,61.84,73.03,C,24.51
S1182,Olivia,Miller,olivia182@university.com,Female,19,Business,86.6,91.07,80.29,90.48,86.0,48.98,71.2,83.02,B,8.82
S1183,Liam,Garcia,liam183@university.com,Female,18,CS,86.84,91.77,53.0,54.79,41.42,78.52,80.35,68.95,D,18.67
S1184,Olivia,Davis,olivia184@university.com,Female,19,CS,62.84,77.92,43.51,57.09,56.47,75.82,83.79,62.27,D,16.07
S1185,Ahmed,Davis,ahmed185@university.com,Male,22,Mathematics,85.88,81.55,99.48,56.42,46.25,83.46,78.92,79.21,C,11.85
S1186,Liam,Williams,liam186@university.com,Female,23,Mathematics,63.24,78.72,75.75,70.06,62.02,60.61,80.86,71.99,C,16.06
S1187,Ahmed,Johnson,ahmed187@university.com,Male,21,Engineering,53.38,88.02,54.02,77.0,92.8,79.05,76.65,71.57,C,13.11
S1188,Omar,Garcia,omar188@university.com,Male,20,Business,59.52,43.14,62.71,68.15,99.73,66.78,66.68,63.43,D,19.51
S1189,Maria,Brown,maria189@university.com,Male,19,Mathematics,97.88,50.52,81.4,60.05,72.15,45.8,72.52,70.9,C,23.9
S1190,Maria,Davis,maria190@university.com,Male,18,CS,65.04,98.87,68.49,69.13,47.19,98.45,51.0,71.77,C,23.43
S1191,Maria,Brown,maria191@university.com,Male,21,Engineering,62.18,80.29,45.58,62.85,87.27,91.88,80.42,67.57,D,17.67
S1192,Sara,Williams,sara192@university.com,Male,21,Mathematics,85.44,42.17,58.19,63.16,61.61,45.26,96.85,63.38,D,18.85
S1193,Emma,Williams,emma193@university.com,Female,20,Engineering,91.26,56.78,96.54,93.67,49.71,87.18,78.73,80.43,B,19.16
S1194,John,Williams,john194@university.com,Male,21,CS,60.43,95.84,46.98,90.87,62.84,92.68,93.4,73.87,C,25.15
S1195,Omar,Smith,omar195@university.com,Male,24,Engineering,65.23,44.86,64.18,58.68,81.7,60.77,98.78,64.69,D,21.02
S1196,Olivia,Davis,olivia196@university.com,Male,18,Engineering,78.76,68.76,58.82,80.32,48.35,93.9,91.47,71.0,C,12.94
S1197,Omar,Johnson,omar197@university.com,Female,20,Mathematics,69.93,48.78,62.05,53.41,41.55,48.11,98.16,60.15,D,18.74
S1198,Ahmed,Miller,ahmed198@university.com,Female,21,Mathematics,65.59,70.37,66.37,55.28,78.45,52.96,80.98,67.39,D,21.26
S1199,Maria,Garcia,maria199@university.com,Male,20,Business,69.32,73.87,51.51,60.59,69.08,85.26,80.97,66.4,D,12.43
S1200,Ahmed,Miller,ahmed200@university.com,Male,24,Engineering,61.96,48.53,47.28,65.16,46.06,81.53,53.11,54.59,F,17.74
S1201,Sara,Williams,sara201@university.com,Female,24,Mathematics,61.44,53.96,53.25,58.69,79.34,90.88,86.22,63.22,D,24.8
S1202,John,Johnson,john202@university.com,Male,24,Business,72.49,51.68,62.07,70.71,89.65,84.02,88.47,69.34,D,5.28
